wnt3wls_561_5.ptu
Correlation_time_ms	G_t	Err
0.000002400000	1.689189559590	0
0.000003600000	1.501902333016	0
0.000004800000	1.407655677833	0
0.000006000000	1.288475403655	0
0.000007200000	1.258003859966	0
0.000008400000	1.198144482663	0
0.000009600000	1.152156554633	0
0.000010800000	1.124535248394	0
0.000012000000	1.118717068004	0
0.000014400000	1.057580688157	0
0.000016800000	0.994007072485	0
0.000019200000	0.918371826548	0
0.000021600000	0.901531747662	0
0.000024000000	0.868246389527	0
0.000028800000	0.795001666505	0
0.000033600000	0.735324024479	0
0.000038400000	0.666019391206	0
0.000043200000	0.631229992439	0
0.000048000000	0.586588009148	0
0.000057600000	0.519660132871	0
0.000067200000	0.458410464828	0
0.000076800000	0.425652469524	0
0.000086400000	0.390575701373	0
0.000096000000	0.348937238176	0
0.000115200000	0.304949411678	0
0.000134400000	0.273652529055	0
0.000153600000	0.234290672385	0
0.000172800000	0.212285753796	0
0.000192000000	0.194602552182	0
0.000230400000	0.160702058109	0
0.000268800000	0.134541260300	0
0.000307200000	0.120140266940	0
0.000345600000	0.113871744130	0
0.000384000000	0.096124993365	0
0.000460800000	0.079451990997	0
0.000537600000	0.064776335714	0
0.000614400000	0.054118172315	0
0.000691200000	0.052420005539	0
0.000768000000	0.041465759434	0
0.000921600000	0.036132173474	0
0.001075200000	0.030491358088	0
0.001228800000	0.024706078942	0
0.001382400000	0.019060903784	0
0.001536000000	0.018270011718	0
0.001843200000	0.015409300528	0
0.002150400000	0.011494281580	0
0.002457600000	0.006162897285	0
0.002764800000	0.005500631663	0
0.003072000000	0.006086527915	0
0.003686400000	0.006335761211	0
0.004300800000	0.003500271853	0
0.004915200000	0.004805720692	0
0.005529600000	0.002323363780	0
0.006144000000	0.003242173494	0
0.007372800000	0.003637836344	0
0.008601600000	0.002997012148	0
0.009830400000	0.003325787913	0
0.011059200000	0.001122244538	0
0.012288000000	0.000988580352	0
0.014745600000	0.000820461760	0
0.017203200000	0.000681176390	0
0.019660800000	-0.000125126253	0
0.022118400000	-0.000377655763	0
0.024576000000	0.000153954403	0
0.029491200000	0.000287718968	0
0.034406400000	0.001260491258	0
0.039321600000	0.001475926002	0
0.044236800000	0.001256769094	0
0.049152000000	-0.001170561045	0
0.058982400000	0.001130353411	0
0.068812800000	0.000161580151	0
0.078643200000	0.000014319300	0
0.088473600000	-0.000172560256	0
0.098304000000	-0.000271705043	0
0.117964800000	0.000205335112	0
0.137625600000	0.000575019749	0
0.157286400000	0.000284854688	0
0.176947200000	0.001039270269	0
0.196608000000	-0.000362054540	0
0.235929600000	0.000033622946	0
0.275251200000	0.000403496401	0
0.314572800000	0.000052804818	0
0.353894400000	-0.000306380224	0
0.393216000000	0.000254466954	0
0.471859200000	-0.000107840625	0
0.550502400000	0.000011659482	0
0.629145600000	0.000342001079	0
0.707788800000	-0.000219415918	0
0.786432000000	0.000322468009	0
0.943718400000	-0.000032001380	0
1.101004800000	-0.000015665493	0
1.258291200000	0.000052306240	0
1.415577600000	-0.000048020853	0
1.572864000000	-0.000359538634	0
1.887436800000	-0.000074712117	0
2.202009600000	-0.000236571052	0
2.516582400000	-0.000126597653	0
2.831155200000	-0.000150322079	0
3.145728000000	0.000082182947	0
3.774873600000	0.000120683967	0
4.404019200000	-0.000027592426	0
5.033164800000	-0.000142127682	0
5.662310400000	-0.000043628371	0
6.291456000000	0.000086038610	0
7.549747200000	-0.000005609241	0
8.808038400000	-0.000112496102	0
10.066329600000	0.000162249598	0
11.324620800000	-0.000099016735	0
12.582912000000	-0.000242647620	0
15.099494400000	-0.000014304127	0
17.616076800000	-0.000022371549	0
20.132659200000	-0.000013135686	0
22.649241600000	-0.000022871942	0
25.165824000000	0.000011401842	0
